no;en_name;de_name;type;level
100.90;ShoppagesNavigation;ShoppagesNavigation;folder;
100.90.1;Terms of service;AGB;page;
100.90.2;Right of rescission;Widerrufsbelehrungen;page;
100.90.3;Payment / Shipping;Versand und Zahlung;page;
100.90.4;Privacy;Datenschutz;page;
100.90.5;Imprint;Impressum;page;
100.90.6;404;404;page;
