no;en_name;de_name;type;level
200;ServiceNavigation;ServiceNavigation;folder;1
200.1;Facebook;Facebook;link;
200.2;Instagram;Instagram;link;
200.3;Youtube;Youtube;link;
200.4;Pinterest;Pinterest;link;
